Device Type;Brand Name;RAM;Storage Size;Screen Size;Cost;Supplier
Tablet;ASUS;4;50;6;173572;Bouiy
Laptop;TECHNO;5;500;17;225664;Yellow-Ko
Tablet;ACER;3;200;7;62749;Cutti
Tablet;HP;1;200;9;194189;BootStrap
Tablet;DELL;2;50;7;55344;Tex--y
Laptop;ACER;3;750;17;332883;Fill-Sol
Laptop;SAMSUNG;5;300;14;286337;CompSer
Laptop;TECHNO;5;250;13;308269;Adams
Laptop;SHARP;5;350;15;292565;Insert-Media
Tablet;DELL;4;30;7;65506;Cler-IT
Tablet;DELL;2;150;7;50947;Merget
Laptop;DELL;4;250;16;339057;Adedex
Tablet;LENOVO;3;50;8;62854;Tex--y
Laptop;ACER;8;1000;17;248981;Adedex
Tablet;SHARP;4;150;7;54652;Slams
Tablet;SAMSUNG;1;30;9;69122;Alig-IT
Laptop;ASUS;3;1000;12;200534;Paint-UT
Tablet;SONY;4;30;8;75054;IT-Solu
Laptop;ASUS;2;350;13;423778;CC-Sly
Tablet;SAMSUNG;3;150;9;152258;Jumbo
Laptop;SAMSUNG;7;750;10;476682;IT-Solu
Laptop;TECHNO;5;1000;16;302022;Slams
Tablet;DELL;5;200;7;59914;Center-tech
Tablet;SONY;4;200;9;116724;Alig-IT
Tablet;SHARP;3;150;6;176500;CC-Sly
Tablet;ACER;1;50;9;195404;Cutti
Laptop;SHARP;2;750;13;446658;Oshod-Connect
Tablet;LENOVO;5;200;6;90606;BootStrap
Tablet;DELL;3;30;6;194853;Tex--y
Tablet;DELL;4;30;9;89917;Adams
Laptop;HP;5;500;13;430048;Bold-Sol
Laptop;ACER;7;750;17;457040;Formaay
Tablet;SONY;2;30;8;111400;IT-Solu
Tablet;SONY;3;30;9;151978;Paint-UT
Laptop;ACER;8;250;13;293146;Adams
Tablet;DELL;5;50;9;73767;CC-Sly
Laptop;LENOVO;4;250;14;226048;Alig-IT
Tablet;SONY;3;150;8;68415;Alig-IT
Tablet;ACER;4;150;8;141461;Center-tech
Tablet;DELL;3;200;6;137333;Paint-UT
Laptop;SONY;5;1000;12;478452;K-Boys
Laptop;SHARP;5;750;11;301949;Center-tech
Laptop;ASUS;5;750;16;407612;Bouiy
Tablet;TECHNO;2;150;7;160265;Shyles
Tablet;HP;1;200;9;111093;Yellow-Ko
Tablet;HP;5;50;6;164554;Cutti
Tablet;ACER;1;150;7;85075;Adedex
Laptop;SAMSUNG;4;300;15;433478;Insert-Media
